id,name,grade,class,age
1,于一诺,初一,初一1班,12
2,丁雨桐,初一,初一1班,12
3,胡欣怡,初一,初一1班,14
4,赵文博,初一,初一1班,12
5,蔡俊杰,初一,初一1班,12
6,李浩宇,初一,初一1班,12
7,胡佳琪,初一,初一1班,14
8,李文博,初一,初一1班,12
9,魏文博,初一,初一1班,13
10,胡思琪,初一,初一1班,14
11,何子涵,初一,初一1班,12
12,苏俊杰,初一,初一1班,13
13,何欣怡,初一,初一1班,12
14,梁一诺,初一,初一1班,12
15,唐一诺,初一,初一1班,13
16,谢志远,初一,初一1班,13
17,王思琪,初一,初一1班,14
18,黄雅婷,初一,初一1班,12
19,潘明哲,初一,初一1班,14
20,余博文,初一,初一1班,14
21,马浩宇,初一,初一1班,12
22,叶思远,初一,初一1班,13
23,杨思远,初一,初一1班,12
24,唐雨桐,初一,初一1班,13
25,于博文,初一,初一1班,12
26,宋博文,初一,初一1班,12
27,叶雨桐,初一,初一1班,14
28,程浩宇,初一,初一1班,14
29,于宇轩,初一,初一1班,14
30,吕思远,初一,初一1班,12
31,曹雅婷,初一,初一1班,13
32,于文博,初一,初一1班,12
33,程静怡,初一,初一1班,12
34,胡梓涵,初一,初一1班,13
35,许雨桐,初一,初一1班,12
36,朱诗涵,初一,初一1班,14
37,郑梓轩,初一,初一1班,14
38,曾雅婷,初一,初一1班,14
39,曹欣怡,初一,初一1班,13
40,周思远,初一,初一1班,14
41,潘文博,初一,初一1班,13
42,丁诗涵,初一,初一1班,13
43,蔡雅婷,初一,初一1班,13
44,胡欣怡,初一,初一1班,14
45,曾浩宇,初一,初一1班,12
46,黄欣怡,初一,初一1班,14
47,徐俊杰,初一,初一1班,14
48,陈雅婷,初一,初一1班,13
49,蒋思琪,初一,初一1班,14
50,郭文博,初一,初一1班,12
51,程一诺,初一,初一2班,14
52,董雨桐,初一,初一2班,14
53,梁一诺,初一,初一2班,13
54,冯宇轩,初一,初一2班,13
55,张雨桐,初一,初一2班,14
56,孙佳琪,初一,初一2班,12
57,于明哲,初一,初一2班,14
58,萧志远,初一,初一2班,12
59,吴博文,初一,初一2班,12
60,董佳琪,初一,初一2班,12
61,蒋静怡,初一,初一2班,13
62,李一诺,初一,初一2班,13
63,罗思远,初一,初一2班,12
64,林诗涵,初一,初一2班,12
